segment_id,road_name,highway_type,lon_from,lat_from,lon_to,lat_to,lon_center,lat_center,length_m,bearing_deg,lanes,maxspeed_kmh,oneway,has_signal_from,has_signal_to,is_way_entry,is_way_exit,road_importance
0,Ahmadu Bello Way,trunk,3.4040321,6.440111,3.4047197,6.4396866,3.4043759,6.4398988,89.44,121.8,2,50,yes,0,0,1,0,1
1,Ahmadu Bello Way,trunk,3.4047197,6.4396866,3.4052293,6.4393334,3.4049745,6.43951,68.65,124.9,2,50,yes,0,0,0,0,1
2,Ahmadu Bello Way,trunk,3.4052293,6.4393334,3.4058898,6.4388759,3.40555955,6.43910465,88.96,124.9,2,50,yes,0,0,0,0,1
3,Ahmadu Bello Way,trunk,3.4058898,6.4388759,3.4069392,6.4381727,3.4064145000000003,6.4385243,139.85,124.0,2,50,yes,0,0,0,1,1
4,Adeola Odeku Street,secondary,3.4239777,6.4292452,3.423878,6.4292447,3.42392785,6.42924495,11.02,269.7,2,50,yes,1,1,1,0,3
5,Adeola Odeku Street,secondary,3.423878,6.4292447,3.4232068,6.4292439,3.4235424,6.429244300000001,74.16,269.9,2,50,yes,1,0,0,0,3
6,Adeola Odeku Street,secondary,3.4232068,6.4292439,3.4229081,6.4292462,3.42305745,6.4292450500000005,33.01,270.4,2,50,yes,0,0,0,0,3
7,Adeola Odeku Street,secondary,3.4229081,6.4292462,3.4226602,6.429264,3.42278415,6.4292551,27.46,274.1,2,50,yes,0,0,0,0,3
8,Adeola Odeku Street,secondary,3.4226602,6.429264,3.4226536,6.4292645,3.4226569,6.42926425,0.73,274.4,2,50,yes,0,0,0,0,3
9,Adeola Odeku Street,secondary,3.4226536,6.4292645,3.4223425,6.4292965,3.42249805,6.429280500000001,34.56,275.9,2,50,yes,0,0,0,0,3
10,Adeola Odeku Street,secondary,3.4223425,6.4292965,3.4221882,6.4293218,3.42226535,6.42930915,17.28,279.4,2,50,yes,0,0,0,0,3
11,Adeola Odeku Street,secondary,3.4221882,6.4293218,3.4220146,6.4293505,3.4221014,6.42933615,19.45,279.4,2,50,yes,0,0,0,0,3
12,Adeola Odeku Street,secondary,3.4220146,6.4293505,3.4213475,6.429505,3.42168105,6.42942775,75.69,283.1,2,50,yes,0,0,0,0,3
13,Adeola Odeku Street,secondary,3.4213475,6.429505,3.4207818,6.4296641,3.42106465,6.42958455,64.96,285.8,2,50,yes,0,0,0,0,3
14,Adeola Odeku Street,secondary,3.4207818,6.4296641,3.4202946,6.4297996,3.4205382,6.42973185,55.9,285.6,2,50,yes,0,0,0,0,3
15,Adeola Odeku Street,secondary,3.4202946,6.4297996,3.4192251,6.4300875,3.41975985,6.42994355,122.43,285.2,2,50,yes,0,0,0,0,3
16,Adeola Odeku Street,secondary,3.4192251,6.4300875,3.4186926,6.4302193,3.41895885,6.4301534,60.64,284.0,2,50,yes,0,0,0,0,3
