signal_id,node_osm_id,lon,lat
1,5902583245,3.4239777,6.4292452
2,95636900,3.423878,6.4292447
3,1480437222,3.4089,6.4300156
4,36240967,3.4239759,6.4270816
5,95636908,3.4238935,6.4270814
6,31674712,3.4240005,6.4226451
7,168577454,3.4239971,6.4227308
8,5622523776,3.4087987,6.430015
9,5902583248,3.4087993,6.4299162
10,5588108886,3.4237446,6.4226404
11,95637019,3.4239089,6.4226458
12,168581819,3.4239055,6.422731
13,1480437277,3.4089006,6.4299169
14,10603251481,3.40915,6.4299169
15,2339926113,3.4238783,6.4291634
16,5109668001,3.4238814,6.4311109
17,5582802502,3.4238827,6.4306778
18,12632857523,3.4239783,6.4273948
19,5194461468,3.423978,6.4289472
20,5194461469,3.4239773,6.4290241
21,31674708,3.4239774,6.4291637
22,5109667999,3.423978,6.4311413
23,31674707,3.4239794,6.431298
