segment_id,osm_way_id,road_name,highway_type,lanes,maxspeed_kmh,oneway,surface,lit,node_from_osm_id,lat_from,lon_from,node_to_osm_id,lat_to,lon_to,lat_center,lon_center,length_m,bearing_deg,has_signal_from,signal_from_osm_id,has_signal_to,signal_to_osm_id,is_way_entry,is_way_exit,segment_index_in_way,total_segments_in_way
0,5150134,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,1090910116,6.440111,3.4040321,5588599662,6.4396866,3.4047197,6.4398988,3.4043759,89.44,121.8,0,,0,,1,0,0,4
1,5150134,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5588599662,6.4396866,3.4047197,5588599661,6.4393334,3.4052293,6.43951,3.4049745,68.65,124.9,0,,0,,0,0,1,4
2,5150134,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,5588599661,6.4393334,3.4052293,31674770,6.4388759,3.4058898,6.43910465,3.40555955,88.96,124.9,0,,0,,0,0,2,4
3,5150134,Ahmadu Bello Way,trunk,2,50,yes,paved,yes,31674770,6.4388759,3.4058898,5588599657,6.4381727,3.4069392,6.4385243,3.4064145000000003,139.85,124.0,0,,0,,0,1,3,4
4,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5902583245,6.4292452,3.4239777,95636900,6.4292447,3.423878,6.42924495,3.42392785,11.02,269.7,1,31674708,1,31674708,1,0,0,43
5,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,95636900,6.4292447,3.423878,35723955,6.4292439,3.4232068,6.429244300000001,3.4235424,74.16,269.9,1,31674708,0,,0,0,1,43
6,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723955,6.4292439,3.4232068,5902583247,6.4292462,3.4229081,6.4292450500000005,3.42305745,33.01,270.4,0,,0,,0,0,2,43
7,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5902583247,6.4292462,3.4229081,10175321663,6.429264,3.4226602,6.4292551,3.42278415,27.46,274.1,0,,0,,0,0,3,43
8,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,10175321663,6.429264,3.4226602,35723956,6.4292645,3.4226536,6.42926425,3.4226569,0.73,274.4,0,,0,,0,0,4,43
9,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723956,6.4292645,3.4226536,5108265560,6.4292965,3.4223425,6.429280500000001,3.4224980499999997,34.56,275.9,0,,0,,0,0,5,43
10,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5108265560,6.4292965,3.4223425,5582731538,6.4293218,3.4221882,6.42930915,3.42226535,17.28,279.4,0,,0,,0,0,6,43
11,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731538,6.4293218,3.4221882,35723957,6.4293505,3.4220146,6.42933615,3.4221014,19.45,279.4,0,,0,,0,0,7,43
12,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723957,6.4293505,3.4220146,1235946207,6.429505,3.4213475,6.42942775,3.42168105,75.69,283.1,0,,0,,0,0,8,43
13,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1235946207,6.429505,3.4213475,7736583587,6.4296641,3.4207818,6.4295845499999995,3.42106465,64.96,285.8,0,,0,,0,0,9,43
14,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,7736583587,6.4296641,3.4207818,2389029050,6.4297996,3.4202946,6.42973185,3.4205382,55.9,285.6,0,,0,,0,0,10,43
15,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,2389029050,6.4297996,3.4202946,5246332238,6.4300875,3.4192251,6.42994355,3.41975985,122.43,285.2,0,,0,,0,0,11,43
16,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332238,6.4300875,3.4192251,35723960,6.4302193,3.4186926,6.4301534,3.41895885,60.64,284.0,0,,0,,0,0,12,43
17,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723960,6.4302193,3.4186926,5246332237,6.4304253,3.4179242,6.4303223,3.4183084,87.94,285.1,0,,0,,0,0,13,43
18,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332237,6.4304253,3.4179242,5582731539,6.4304999,3.417611,6.4304626,3.4177676,35.59,283.5,0,,0,,0,0,14,43
19,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731539,6.4304999,3.417611,35723962,6.4305459,3.4173837,6.4305229,3.4174973499999997,25.63,281.5,0,,0,,0,0,15,43
20,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723962,6.4305459,3.4173837,7735981657,6.4305824,3.417155,6.43056415,3.4172693499999998,25.59,279.1,0,,0,,0,0,16,43
21,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,7735981657,6.4305824,3.417155,5582731540,6.4305906,3.4171028,6.4305865,3.4171289,5.84,279.0,0,,0,,0,0,17,43
22,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731540,6.4305906,3.4171028,5246332236,6.4306481,3.4166764,6.430619350000001,3.4168896,47.55,277.7,0,,0,,0,0,18,43
23,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332236,6.4306481,3.4166764,35723963,6.4306639,3.4164825,6.430656,3.41657945,21.5,274.7,0,,0,,0,0,19,43
24,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723963,6.4306639,3.4164825,5246332234,6.430682,3.4161489,6.43067295,3.4163157,36.92,273.1,0,,0,,0,0,20,43
25,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332234,6.430682,3.4161489,5246332233,6.4306901,3.4158276,6.43068605,3.41598825,35.51,271.5,0,,0,,0,0,21,43
26,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332233,6.4306901,3.4158276,35723964,6.4306911,3.4151957,6.4306906,3.41551165,69.82,270.1,0,,0,,0,0,22,43
27,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723964,6.4306911,3.4151957,35723965,6.4306905,3.4141704,6.4306908,3.41468305,113.29,270.0,0,,0,,0,0,23,43
28,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723965,6.4306905,3.4141704,10175281248,6.4306911,3.4137855,6.4306908,3.41397795,42.53,270.1,0,,0,,0,0,24,43
29,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,10175281248,6.4306911,3.4137855,1598718049,6.4306918,3.4133088,6.430691449999999,3.41354715,52.67,270.1,0,,0,,0,0,25,43
30,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,1598718049,6.4306918,3.4133088,2339926122,6.4306652,3.412767,6.4306785,3.4130379,59.94,267.2,0,,0,,0,0,26,43
31,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,2339926122,6.4306652,3.412767,5246332229,6.4306312,3.4125423,6.4306482,3.4126546500000003,25.11,261.3,0,,0,,0,0,27,43
32,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5246332229,6.4306312,3.4125423,35723967,6.4305912,3.412309,6.4306111999999995,3.4124256500000003,26.16,260.2,0,,0,,0,0,28,43
33,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,35723967,6.4305912,3.412309,5582731541,6.4305545,3.4121574,6.430572850000001,3.4122332,17.24,256.3,0,,0,,0,0,29,43
34,5150268,Adeola Odeku Street,secondary,2,50,yes,paving_stones,yes,5582731541,6.4305545,3.4121574,1598718046,6.4305106,3.4120099,6.430532550000001,3.41208365,17.01,253.3,0,,0,,0,0,30,43
