u,v,name_clean,highway,length,oneway,lanes_manual,Rx_manual,maxspeed_manual_kmh,has_signal_end,u_lat,u_lon,v_lat,v_lon
355516681,5892828018,Unknown,trunk,16.65,True,2,,50,0,6.3769809,2.3899358,6.3770071,2.3900841
5892828018,5851171561,Unknown,trunk,12.38,True,2,,50,0,6.3770071,2.3900841,6.3770159,2.3901958
5851171561,5848990346,Unknown,trunk,11.07,True,2,,50,0,6.3770159,2.3901958,6.3770145,2.390296
5848990346,2783260145,Unknown,trunk,112.93,True,2,,50,0,6.3770145,2.390296,6.3769436,2.3913154
2783260145,2488243361,Unknown,trunk,188.65,True,2,,50,0,6.3769436,2.3913154,6.3768492,2.3930199
2488243361,2783251398,Unknown,trunk,240.85,True,2,,50,0,6.3768492,2.3930199,6.3767351,2.3951964
2783251398,2783251397,Unknown,trunk,75.64,True,2,,50,0,6.3767351,2.3951964,6.3766903,2.3958794
2783251397,2783251396,Unknown,trunk,33.23,True,2,,50,0,6.3766903,2.3958794,6.3766727,2.3961796
2783251396,2783251393,Unknown,trunk,369.72,True,2,,50,0,6.3766727,2.3961796,6.3764914,2.3995203
2783251393,1102477660,Unknown,trunk,199.04,True,2,,50,0,6.3764914,2.3995203,6.376389,2.4013185
1102477660,5892749374,Unknown,trunk,45.89,True,2,,50,0,6.376389,2.4013185,6.3763465,2.4017316
5892749374,1102389821,Unknown,trunk,36.84,True,2,,50,0,6.3763465,2.4017316,6.376297,2.4020612
1102389821,5892749375,Unknown,trunk,23.84,True,2,,50,0,6.376297,2.4020612,6.3762527,2.4022723
5892749375,5892749373,Unknown,trunk,24.97,True,2,,50,0,6.3762527,2.4022723,6.3762051,2.4024931
5892749373,4618263329,Unknown,trunk,26.4,True,2,,50,0,6.3762051,2.4024931,6.3761502,2.4027255
4618263329,1102389892,Unknown,trunk,25.8,True,2,,50,0,6.3761502,2.4027255,6.3760921,2.4029515
1102389892,5891430907,Unknown,trunk,28.7,True,2,,50,0,6.3760921,2.4029515,6.3760202,2.4032009
5891430907,5074451598,Unknown,trunk,33.19,True,2,,50,0,6.3760202,2.4032009,6.3759323,2.4034879
5074451598,7624815319,Unknown,trunk,30.23,True,2,,50,0,6.3759323,2.4034879,6.3758463,2.4037474
7624815319,5892749376,Unknown,trunk,24.09,True,2,,50,0,6.3758463,2.4037474,6.3757685,2.4039509
5892749376,7624815318,Unknown,trunk,26.99,True,2,,50,0,6.3757685,2.4039509,6.3756757,2.4041766
7624815318,7624815317,Unknown,trunk,25.34,True,2,,50,0,6.3756757,2.4041766,6.3755824,2.4043858
7624815317,4452035836,Unknown,trunk,51.34,True,2,,50,0,6.3755824,2.4043858,6.3753717,2.4047992
4452035836,2783251371,Unknown,trunk,15.6,True,2,,50,0,6.3753717,2.4047992,6.3752976,2.4049191
2783251371,2770126974,Unknown,trunk,74.27,True,2,,50,0,6.3752976,2.4049191,6.3749488,2.4054923
2770126974,2770126973,Unknown,trunk,70.11,True,2,,50,0,6.3749488,2.4054923,6.374576,2.406004
2770126973,2770126971,Unknown,trunk,64.48,True,2,,50,0,6.374576,2.406004,6.3742102,2.4064568
2770126971,2770126968,Unknown,trunk,67.72,True,2,,50,0,6.3742102,2.4064568,6.3738197,2.4069271
2770126968,1531575212,Unknown,trunk,65.64,True,2,,50,0,6.3738197,2.4069271,6.3734348,2.4073774
1531575212,2770084321,Unknown,trunk,64.96,True,2,,50,0,6.3734348,2.4073774,6.3730482,2.4078181
2770084321,2770084320,Unknown,trunk,68.15,True,2,,50,0,6.3730482,2.4078181,6.3726553,2.4082914
2770084320,2770084317,Unknown,trunk,67.36,True,2,,50,0,6.3726553,2.4082914,6.372261,2.4087542
2770084317,5074451600,Unknown,trunk,37.48,True,2,,50,0,6.372261,2.4087542,6.3720455,2.409015
877155455,7695913828,Boulevard de l’Europe,trunk,37.83,True,2,,50,0,6.3832665,2.3781738,6.3830048,2.3783925
7695913828,7695913827,Boulevard de l’Europe,trunk,23.87,True,2,,50,0,6.3830048,2.3783925,6.3828355,2.3785253
7695913827,7695913826,Boulevard de l’Europe,trunk,20.42,True,2,,50,0,6.3828355,2.3785253,6.3826889,2.3786366
7695913826,5896209808,Boulevard de l’Europe,trunk,20.36,True,2,,50,0,6.3826889,2.3786366,6.382533,2.3787332
5896209808,5896270559,Boulevard de l’Europe,trunk,20.24,True,2,,50,0,6.382533,2.3787332,6.3823783,2.3788297
5896270559,5896209801,Boulevard de l’Europe,trunk,26.37,True,2,,50,0,6.3823783,2.3788297,6.3821678,2.3789397
5896209801,3634748109,Boulevard de l’Europe,trunk,32.73,True,2,,50,0,6.3821678,2.3789397,6.3818991,2.3790607
3634748109,5896270556,Boulevard de l’Europe,trunk,19.5,True,2,,50,0,6.3818991,2.3790607,6.3817352,2.3791234
5896270556,3268777747,Boulevard de l’Europe,trunk,23.91,True,2,,50,0,6.3817352,2.3791234,6.381529,2.3791849
3268777747,3270577914,Boulevard de l’Europe,trunk,40.19,True,2,,50,0,6.381529,2.3791849,6.3811798,2.3792786
3270577914,5953981519,Boulevard de l’Europe,trunk,83.14,True,2,,50,0,6.3811798,2.3792786,6.3804525,2.3794533
5953981519,4250058231,Boulevard de l’Europe,trunk,51.44,True,2,,50,1,6.3804525,2.3794533,6.3800056,2.3795735
4250058231,3705065525,Boulevard de l’Europe,trunk,11.85,True,2,,50,0,6.3800056,2.3795735,6.3799053,2.3796098
3705065525,7804269117,Boulevard de l’Europe,trunk,27.32,True,2,,50,0,6.3799053,2.3796098,6.3796741,2.3796934
7804269117,5953981518,Boulevard de l’Europe,trunk,17.91,True,2,,50,0,6.3796741,2.3796934,6.3795275,2.3797605
5953981518,7770613675,Boulevard de l’Europe,trunk,22.94,True,2,,50,0,6.3795275,2.3797605,6.3793463,2.3798597
7770613675,3268777729,Boulevard de l’Europe,trunk,20.97,True,2,,50,0,6.3793463,2.3798597,6.3791833,2.3799551
3268777729,7770613674,Boulevard de l’Europe,trunk,22.75,True,2,,50,0,6.3791833,2.3799551,6.3790077,2.3800608
7770613674,877155457,Boulevard de l’Europe,trunk,20.94,True,2,,50,0,6.3790077,2.3800608,6.3788577,2.3801753
877155457,7770613673,Boulevard de l’Europe,trunk,24.06,True,2,,50,0,6.3788577,2.3801753,6.3786879,2.3803103
7770613673,4621559250,Boulevard de l’Europe,trunk,21.62,True,2,,50,0,6.3786879,2.3803103,6.3785439,2.3804417
4621559250,7770613672,Boulevard de l’Europe,trunk,20.76,True,2,,50,0,6.3785439,2.3804417,6.3784106,2.3805732
7770613672,4621559251,Boulevard de l’Europe,trunk,22.54,True,2,,50,0,6.3784106,2.3805732,6.3782827,2.3807314
4621559251,5848768716,Boulevard de l’Europe,trunk,24.41,True,2,,50,0,6.3782827,2.3807314,6.3781414,2.3809004
5848768716,7770591683,Boulevard de l’Europe,trunk,24.26,True,2,,50,0,6.3781414,2.3809004,6.3780161,2.3810801
7770591683,330788463,Boulevard de l’Europe,trunk,22.07,True,2,,50,0,6.3780161,2.3810801,6.3779148,2.3812518
