segment_id,osm_way_id,road_name,highway_type,lanes,maxspeed_kmh,surface,oneway,u_osm_id,u_lat,u_lon,v_osm_id,v_lat,v_lon,length_m,bearing_deg,center_lat,center_lon,has_signal_start,has_signal_end,segment_index,way_total_segments,geometry_wkt
0,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828017,6.3768355,2.3897621,5892828014,6.3767522,2.3898537,13.72,132.5,6.37679385,2.3898079,0,0,1,34,"LINESTRING(2.3897621 6.3768355, 2.3898537 6.3767522)"
1,31760318,Rue 12.191,primary,2,50,asphalt,yes,5848990355,6.3767029,2.3899098,355516496,6.3766207,2.3900002,13.54,132.5,6.3766618,2.3899549999999996,0,0,3,34,"LINESTRING(2.3899098 6.3767029, 2.3900002 6.3766207)"
2,31760318,Rue 12.191,primary,2,50,asphalt,yes,355516496,6.3766207,2.3900002,5953981510,6.3765114,2.3901164,17.68,133.4,6.37656605,2.3900582999999997,0,0,4,34,"LINESTRING(2.3900002 6.3766207, 2.3901164 6.3765114)"
3,31760318,Rue 12.191,primary,2,50,asphalt,yes,5953981510,6.3765114,2.3901164,355516578,6.3763408,2.3903109,28.67,131.4,6.3764261,2.3902136499999997,0,0,5,34,"LINESTRING(2.3901164 6.3765114, 2.3903109 6.3763408)"
4,31760318,Rue 12.191,primary,2,50,asphalt,yes,355516578,6.3763408,2.3903109,5892828013,6.3762453,2.3904,14.48,137.2,6.37629305,2.39035545,0,0,6,34,"LINESTRING(2.3903109 6.3763408, 2.3904 6.3762453)"
5,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828013,6.3762453,2.3904,355517721,6.3760942,2.3905191,21.34,141.9,6.37616975,2.39045955,0,0,7,34,"LINESTRING(2.3904 6.3762453, 2.3905191 6.3760942)"
6,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517721,6.3760942,2.3905191,355517702,6.3758986,2.3906422,25.65,148.0,6.3759964,2.39058065,0,0,8,34,"LINESTRING(2.3905191 6.3760942, 2.3906422 6.3758986)"
7,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517702,6.3758986,2.3906422,5892828012,6.3757772,2.3907182,15.9,148.1,6.3758379000000005,2.3906802,0,0,9,34,"LINESTRING(2.3906422 6.3758986, 2.3907182 6.3757772)"
8,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828012,6.3757772,2.3907182,5849637426,6.3756123,2.3908042,20.65,152.6,6.37569475,2.3907612,0,0,10,34,"LINESTRING(2.3907182 6.3757772, 2.3908042 6.3756123)"
9,31760318,Rue 12.191,primary,2,50,asphalt,yes,5849637426,6.3756123,2.3908042,5849637432,6.3753242,2.3909344,35.12,155.8,6.37546825,2.3908693,0,0,11,34,"LINESTRING(2.3908042 6.3756123, 2.3909344 6.3753242)"
10,31760318,Rue 12.191,primary,2,50,asphalt,yes,5849637432,6.3753242,2.3909344,5892828010,6.3750522,2.3910677,33.64,154.0,6.3751882,2.39100105,0,0,12,34,"LINESTRING(2.3909344 6.3753242, 2.3910677 6.3750522)"
11,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828010,6.3750522,2.3910677,355517662,6.3747396,2.3912145,38.36,155.0,6.3748959,2.3911410999999996,0,0,13,34,"LINESTRING(2.3910677 6.3750522, 2.3912145 6.3747396)"
12,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517662,6.3747396,2.3912145,5893050701,6.3743664,2.3913723,45.01,157.2,6.374553000000001,2.3912934,0,0,14,34,"LINESTRING(2.3912145 6.3747396, 2.3913723 6.3743664)"
13,31760318,Rue 12.191,primary,2,50,asphalt,yes,5893050701,6.3743664,2.3913723,5892828006,6.3734437,2.3917677,111.52,156.9,6.37390505,2.3915699999999998,0,0,15,34,"LINESTRING(2.3913723 6.3743664, 2.3917677 6.3734437)"
14,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828006,6.3734437,2.3917677,7807061003,6.37325,2.3918518,23.46,156.7,6.37334685,2.39180975,0,0,16,34,"LINESTRING(2.3917677 6.3734437, 2.3918518 6.37325)"
15,31760318,Rue 12.191,primary,2,50,asphalt,yes,7807061003,6.37325,2.3918518,355517548,6.3730736,2.3919342,21.63,155.1,6.3731618,2.391893,0,0,17,34,"LINESTRING(2.3918518 6.37325, 2.3919342 6.3730736)"
16,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517548,6.3730736,2.3919342,355517509,6.3728747,2.3920419,25.12,151.7,6.372974149999999,2.39198805,0,0,18,34,"LINESTRING(2.3919342 6.3730736, 2.3920419 6.3728747)"
17,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517509,6.3728747,2.3920419,5953981509,6.3727249,2.3921388,19.8,147.3,6.372799799999999,2.39209035,0,0,19,34,"LINESTRING(2.3920419 6.3728747, 2.3921388 6.3727249)"
18,31760318,Rue 12.191,primary,2,50,asphalt,yes,5953981509,6.3727249,2.3921388,355517470,6.3725945,2.3922339,17.91,144.1,6.3726597,2.3921863500000002,0,0,20,34,"LINESTRING(2.3921388 6.3727249, 2.3922339 6.3725945)"
19,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517470,6.3725945,2.3922339,7807061005,6.3724343,2.3923668,23.09,140.5,6.3725144,2.39230035,0,0,21,34,"LINESTRING(2.3922339 6.3725945, 2.3923668 6.3724343)"
20,31760318,Rue 12.191,primary,2,50,asphalt,yes,7807061005,6.3724343,2.3923668,7807061004,6.3723144,2.3924848,18.65,135.6,6.372374349999999,2.3924258,0,0,22,34,"LINESTRING(2.3923668 6.3724343, 2.3924848 6.3723144)"
21,31760318,Rue 12.191,primary,2,50,asphalt,yes,7807061004,6.3723144,2.3924848,355517417,6.372142,2.3926621,27.41,134.4,6.3722282,2.39257345,0,0,23,34,"LINESTRING(2.3924848 6.3723144, 2.3926621 6.372142)"
22,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517417,6.372142,2.3926621,355517389,6.372019,2.3928182,22.01,128.4,6.3720805,2.39274015,0,0,24,34,"LINESTRING(2.3926621 6.372142, 2.3928182 6.372019)"
23,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517389,6.372019,2.3928182,355517316,6.3718338,2.3930723,34.82,126.3,6.3719263999999995,2.39294525,0,0,25,34,"LINESTRING(2.3928182 6.372019, 2.3930723 6.3718338)"
24,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517316,6.3718338,2.3930723,355517294,6.3716601,2.3932314,26.12,137.7,6.37174695,2.3931518499999997,0,0,26,34,"LINESTRING(2.3930723 6.3718338, 2.3932314 6.3716601)"
25,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517294,6.3716601,2.3932314,355517277,6.3715667,2.3932925,12.39,147.0,6.371613399999999,2.39326195,0,0,27,34,"LINESTRING(2.3932314 6.3716601, 2.3932925 6.3715667)"
26,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517277,6.3715667,2.3932925,5892828002,6.3713572,2.3934012,26.21,152.7,6.3714619500000005,2.39334685,0,0,28,34,"LINESTRING(2.3932925 6.3715667, 2.3934012 6.3713572)"
27,31760318,Rue 12.191,primary,2,50,asphalt,yes,5892828002,6.3713572,2.3934012,355517251,6.3710996,2.3934793,29.92,163.2,6.3712284,2.3934402500000003,0,0,29,34,"LINESTRING(2.3934012 6.3713572, 2.3934793 6.3710996)"
28,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517251,6.3710996,2.3934793,355517193,6.3707924,2.3935476,34.98,167.5,6.370946,2.3935134500000004,0,0,30,34,"LINESTRING(2.3934793 6.3710996, 2.3935476 6.3707924)"
29,31760318,Rue 12.191,primary,2,50,asphalt,yes,355517193,6.3707924,2.3935476,356271587,6.3705334,2.3936088,29.58,166.8,6.3706629,2.3935782000000003,0,0,31,34,"LINESTRING(2.3935476 6.3707924, 2.3936088 6.3705334)"
30,31760318,Rue 12.191,primary,2,50,asphalt,yes,356271587,6.3705334,2.3936088,5953981508,6.3696867,2.3938226,97.07,165.9,6.37011005,2.3937157,0,0,32,34,"LINESTRING(2.3936088 6.3705334, 2.3938226 6.3696867)"
31,31760318,Rue 12.191,primary,2,50,asphalt,yes,5953981508,6.3696867,2.3938226,355517169,6.3695771,2.3938534,12.65,164.4,6.3696319,2.3938379999999997,0,0,33,34,"LINESTRING(2.3938226 6.3696867, 2.3938534 6.3695771)"
32,31760372,Unknown,trunk,2,50,asphalt,yes,355516681,6.3769809,2.3899358,5892828018,6.3770071,2.3900841,16.65,79.9,6.376994,2.39000995,0,0,0,38,"LINESTRING(2.3899358 6.3769809, 2.3900841 6.3770071)"
33,31760372,Unknown,trunk,2,50,asphalt,yes,5892828018,6.3770071,2.3900841,5851171561,6.3770159,2.3901958,12.38,85.5,6.3770115,2.39013995,0,0,1,38,"LINESTRING(2.3900841 6.3770071, 2.3901958 6.3770159)"
