segment_id,timestamp,current_speed,free_flow_speed,travel_time,confidence,congestion_level,highway_type,length_km
31674707_31700906,2025-09-10T00:00:00,55.3,60,39,0.84,0.03,primary,0.605
31674708_5902583245,2025-09-10T00:00:00,47.7,60,684,0.93,0.03,primary,9.062
31674711_36240967,2025-09-10T00:00:00,51.5,60,17,0.84,0.03,primary,0.25
31674712_168577454,2025-09-10T00:00:00,61.0,60,563,0.89,0.03,primary,9.537
31674712_5588108884,2025-09-10T00:00:00,41.6,50,18,0.88,0.03,secondary,0.208
31700878_5109668001,2025-09-10T00:00:00,50.3,60,43,0.83,0.03,primary,0.606
31700906_1472131511,2025-09-10T00:00:00,54.0,60,8,0.75,0.03,primary,0.123
35723955_1235946207,2025-09-10T00:00:00,30.7,50,24,0.82,0.03,secondary,0.208
35723960_35723963,2025-09-10T00:00:00,39.2,50,23,0.87,0.03,secondary,0.25
35723963_35723964,2025-09-10T00:00:00,33.7,50,15,0.78,0.03,secondary,0.142
35723964_1598718049,2025-09-10T00:00:00,50.0,50,15,0.84,0.03,secondary,0.208
36240960_4742766612,2025-09-10T00:00:00,34.9,40,9237,0.78,0.03,tertiary,89.646
36240962_1235946208,2025-09-10T00:00:00,27.9,40,12213,0.86,0.03,tertiary,94.629
36240962_95636908,2025-09-10T00:00:00,30.7,40,22,0.87,0.03,tertiary,0.19
36240966_31674711,2025-09-10T00:00:00,49.5,60,6021,0.84,0.03,primary,82.851
36240967_95636908,2025-09-10T00:00:00,32.6,40,1005,0.94,0.03,tertiary,9.105
36240967_31674708,2025-09-10T00:00:00,52.6,60,16,0.8,0.03,primary,0.232
36240972_4019886799,2025-09-10T00:00:00,57.0,60,698,0.79,0.03,primary,11.067
95636900_35723955,2025-09-10T00:00:00,44.6,50,5992,0.75,0.03,secondary,74.165
95636900_2339926113,2025-09-10T00:00:00,38.8,60,838,0.86,0.03,primary,9.04
95636908_36240967,2025-09-10T00:00:00,37.3,40,880,0.86,0.03,tertiary,9.105
95636908_36240962,2025-09-10T00:00:00,34.3,40,20,0.83,0.03,tertiary,0.19
95636908_4708819230,2025-09-10T00:00:00,44.9,60,20,0.81,0.03,primary,0.249
95636982_168581819,2025-09-10T00:00:00,50.3,60,11,0.9,0.03,primary,0.151
95637019_31674712,2025-09-10T00:00:00,54.5,60,668,0.76,0.03,primary,10.122
168574117_5622523770,2025-09-10T00:00:00,54.4,60,706,0.83,0.03,primary,10.677
168577454_168581819,2025-09-10T00:00:00,41.8,60,872,0.88,0.03,primary,10.122
168577454_36240966,2025-09-10T00:00:00,49.4,60,11,0.9,0.03,primary,0.151
168581819_95637019,2025-09-10T00:00:00,48.3,60,707,0.83,0.03,primary,9.481
168581819_1598717904,2025-09-10T00:00:00,54.4,60,44,0.9,0.03,primary,0.665
168585503_1289576526,2025-09-10T00:00:00,41.6,50,14,0.84,0.03,secondary,0.166
1235946200_1598717989,2025-09-10T00:00:00,30.9,40,7726,0.79,0.03,tertiary,66.243
1235946200_1235946208,2025-09-10T00:00:00,37.5,40,22,0.92,0.03,tertiary,0.229
1235946207_5246332238,2025-09-10T00:00:00,43.3,50,20,0.9,0.03,secondary,0.243
1235946208_36240962,2025-09-10T00:00:00,36.0,40,9474,0.82,0.03,tertiary,94.629
1235946208_1235946200,2025-09-10T00:00:00,36.0,40,23,0.93,0.03,tertiary,0.229
1289576526_168577454,2025-09-10T00:00:00,43.5,50,17,0.93,0.03,secondary,0.209
1472121865_31700878,2025-09-10T00:00:00,38.9,60,13,0.89,0.03,primary,0.138
1472131511_3684154039,2025-09-10T00:00:00,53.2,60,15,0.84,0.03,primary,0.225
1472142462_1472121865,2025-09-10T00:00:00,53.2,60,36,0.75,0.03,primary,0.531
1480437223_5246332227,2025-09-10T00:00:00,42.7,50,4192,0.87,0.03,secondary,49.712
1598717904_168574117,2025-09-10T00:00:00,51.4,60,34,0.82,0.03,primary,0.483
1598717989_4742766612,2025-09-10T00:00:00,31.9,40,17,0.82,0.03,tertiary,0.15
1598717989_1235946200,2025-09-10T00:00:00,37.9,40,6295,0.87,0.03,tertiary,66.243
1598718049_2339926122,2025-09-10T00:00:00,35.1,50,6141,0.88,0.03,secondary,59.939
1652204774_6959043879,2025-09-10T00:00:00,53.2,60,7,0.9,0.03,primary,0.106
2339926111_2339926113,2025-09-10T00:00:00,34.5,50,7751,0.83,0.03,secondary,74.278
2339926113_31674708,2025-09-10T00:00:00,41.9,50,940,0.78,0.03,secondary,10.95
2339926113_95636908,2025-09-10T00:00:00,54.3,60,15,0.86,0.03,primary,0.232
2339926116_2339926111,2025-09-10T00:00:00,43.7,50,17,0.84,0.03,secondary,0.211
2339926118_2339926116,2025-09-10T00:00:00,37.5,50,29,0.83,0.03,secondary,0.302
2339926122_35723968,2025-09-10T00:00:00,42.2,50,12,0.81,0.03,secondary,0.137
2339926123_2389029051,2025-09-10T00:00:00,42.9,50,12,0.87,0.03,secondary,0.142
2339926125_2339926123,2025-09-10T00:00:00,51.9,50,14,0.86,0.03,secondary,0.207
2389029051_2339926118,2025-09-10T00:00:00,44.8,50,20,0.85,0.03,secondary,0.249
4019886799_4707949582,2025-09-10T00:00:00,42.6,60,41,0.85,0.03,primary,0.482
4707949582_95637019,2025-09-10T00:00:00,53.0,60,45,0.95,0.03,primary,0.665
4708819230_95636982,2025-09-10T00:00:00,51.7,60,5821,0.87,0.03,primary,83.579
4742766612_36240960,2025-09-10T00:00:00,34.6,40,9332,0.79,0.03,tertiary,89.646
4742766612_1598717989,2025-09-10T00:00:00,38.7,40,14,0.89,0.03,tertiary,0.15
5109667999_31674707,2025-09-10T00:00:00,56.9,60,1103,0.8,0.03,primary,17.425
5109668001_95636900,2025-09-10T00:00:00,60.1,60,12,0.78,0.03,primary,0.208
5246332227_2339926125,2025-09-10T00:00:00,46.2,50,11,0.95,0.03,secondary,0.146
5246332238_35723960,2025-09-10T00:00:00,39.3,50,5551,0.82,0.03,secondary,60.637
5588108884_31674715,2025-09-10T00:00:00,44.1,50,14,0.82,0.03,secondary,0.174
5588108893_1652204774,2025-09-10T00:00:00,44.5,60,11,0.85,0.03,primary,0.142
5622523770_5196725569,2025-09-10T00:00:00,47.1,60,28,0.87,0.03,primary,0.369
5902583245_95636900,2025-09-10T00:00:00,33.7,50,1177,0.93,0.03,secondary,11.017
5902583245_5109667999,2025-09-10T00:00:00,48.6,60,16,0.83,0.03,primary,0.211
6959043879_36240972,2025-09-10T00:00:00,57.0,60,8,0.79,0.03,primary,0.131
31674707_31700906,2025-09-10T00:15:00,53.9,60,40,0.92,0.03,primary,0.605
31674708_5902583245,2025-09-10T00:15:00,44.2,60,738,0.86,0.03,primary,9.062
31674711_36240967,2025-09-10T00:15:00,54.1,60,17,0.89,0.03,primary,0.25
31674712_168577454,2025-09-10T00:15:00,46.2,60,743,0.78,0.03,primary,9.537
31674712_5588108884,2025-09-10T00:15:00,45.9,50,16,0.86,0.03,secondary,0.208
31700878_5109668001,2025-09-10T00:15:00,54.0,60,40,0.87,0.03,primary,0.606
31700906_1472131511,2025-09-10T00:15:00,49.1,60,9,0.86,0.03,primary,0.123
35723955_1235946207,2025-09-10T00:15:00,44.9,50,17,0.81,0.03,secondary,0.208
35723960_35723963,2025-09-10T00:15:00,51.8,50,17,0.87,0.03,secondary,0.25
35723963_35723964,2025-09-10T00:15:00,38.4,50,13,0.88,0.03,secondary,0.142
35723964_1598718049,2025-09-10T00:15:00,39.4,50,19,0.89,0.03,secondary,0.208
36240960_4742766612,2025-09-10T00:15:00,38.7,40,8334,0.81,0.03,tertiary,89.646
36240962_1235946208,2025-09-10T00:15:00,38.0,40,8954,0.87,0.03,tertiary,94.629
36240962_95636908,2025-09-10T00:15:00,37.6,40,18,0.94,0.03,tertiary,0.19
36240966_31674711,2025-09-10T00:15:00,51.4,60,5802,0.81,0.03,primary,82.851
36240967_95636908,2025-09-10T00:15:00,31.6,40,1037,0.81,0.03,tertiary,9.105
36240967_31674708,2025-09-10T00:15:00,52.3,60,16,0.87,0.03,primary,0.232
36240972_4019886799,2025-09-10T00:15:00,54.2,60,736,0.89,0.03,primary,11.067
95636900_35723955,2025-09-10T00:15:00,37.2,50,7187,0.92,0.03,secondary,74.165
95636900_2339926113,2025-09-10T00:15:00,43.6,60,746,0.95,0.03,primary,9.04
95636908_36240967,2025-09-10T00:15:00,31.3,40,1046,0.81,0.03,tertiary,9.105
95636908_36240962,2025-09-10T00:15:00,31.0,40,22,0.87,0.03,tertiary,0.19
95636908_4708819230,2025-09-10T00:15:00,51.5,60,17,0.89,0.03,primary,0.249
95636982_168581819,2025-09-10T00:15:00,55.2,60,10,0.85,0.03,primary,0.151
95637019_31674712,2025-09-10T00:15:00,41.0,60,889,0.77,0.03,primary,10.122
168574117_5622523770,2025-09-10T00:15:00,50.4,60,763,0.89,0.03,primary,10.677
168577454_168581819,2025-09-10T00:15:00,53.8,60,677,0.79,0.03,primary,10.122
168577454_36240966,2025-09-10T00:15:00,53.6,60,10,0.87,0.03,primary,0.151
168581819_95637019,2025-09-10T00:15:00,48.0,60,710,0.86,0.03,primary,9.481
168581819_1598717904,2025-09-10T00:15:00,53.0,60,45,0.79,0.03,primary,0.665
168585503_1289576526,2025-09-10T00:15:00,38.4,50,16,0.88,0.03,secondary,0.166
1235946200_1598717989,2025-09-10T00:15:00,38.5,40,6200,0.9,0.03,tertiary,66.243
1235946200_1235946208,2025-09-10T00:15:00,29.9,40,28,0.8,0.03,tertiary,0.229
1235946207_5246332238,2025-09-10T00:15:00,45.9,50,19,0.88,0.03,secondary,0.243
1235946208_36240962,2025-09-10T00:15:00,36.5,40,9335,0.95,0.03,tertiary,94.629
1235946208_1235946200,2025-09-10T00:15:00,36.7,40,22,0.91,0.03,tertiary,0.229
1289576526_168577454,2025-09-10T00:15:00,40.6,50,19,0.88,0.03,secondary,0.209
1472121865_31700878,2025-09-10T00:15:00,51.0,60,10,0.89,0.03,primary,0.138
1472131511_3684154039,2025-09-10T00:15:00,48.6,60,17,0.84,0.03,primary,0.225
1472142462_1472121865,2025-09-10T00:15:00,50.1,60,38,0.85,0.03,primary,0.531
1480437223_5246332227,2025-09-10T00:15:00,53.8,50,3329,0.76,0.03,secondary,49.712
1598717904_168574117,2025-09-10T00:15:00,56.3,60,31,0.77,0.03,primary,0.483
1598717989_4742766612,2025-09-10T00:15:00,33.1,40,16,0.9,0.03,tertiary,0.15
1598717989_1235946200,2025-09-10T00:15:00,34.9,40,6828,0.8,0.03,tertiary,66.243
1598718049_2339926122,2025-09-10T00:15:00,40.5,50,5324,0.88,0.03,secondary,59.939
1652204774_6959043879,2025-09-10T00:15:00,48.9,60,8,0.86,0.03,primary,0.106
2339926111_2339926113,2025-09-10T00:15:00,43.8,50,6098,0.82,0.03,secondary,74.278
2339926113_31674708,2025-09-10T00:15:00,53.0,50,744,0.88,0.03,secondary,10.95
2339926113_95636908,2025-09-10T00:15:00,42.0,60,20,0.86,0.03,primary,0.232
2339926116_2339926111,2025-09-10T00:15:00,40.8,50,19,0.89,0.03,secondary,0.211
2339926118_2339926116,2025-09-10T00:15:00,40.2,50,27,0.84,0.03,secondary,0.302
2339926122_35723968,2025-09-10T00:15:00,45.9,50,11,0.89,0.03,secondary,0.137
2339926123_2389029051,2025-09-10T00:15:00,38.4,50,13,0.83,0.03,secondary,0.142
2339926125_2339926123,2025-09-10T00:15:00,41.6,50,18,0.82,0.03,secondary,0.207
2389029051_2339926118,2025-09-10T00:15:00,43.7,50,21,0.87,0.03,secondary,0.249
4019886799_4707949582,2025-09-10T00:15:00,46.1,60,38,0.9,0.03,primary,0.482
4707949582_95637019,2025-09-10T00:15:00,54.3,60,44,0.9,0.03,primary,0.665
4708819230_95636982,2025-09-10T00:15:00,44.7,60,6732,0.83,0.03,primary,83.579
4742766612_36240960,2025-09-10T00:15:00,39.1,40,8254,0.81,0.03,tertiary,89.646
4742766612_1598717989,2025-09-10T00:15:00,36.2,40,15,0.89,0.03,tertiary,0.15
5109667999_31674707,2025-09-10T00:15:00,47.8,60,1312,0.85,0.03,primary,17.425
5109668001_95636900,2025-09-10T00:15:00,30.3,60,25,0.8,0.03,primary,0.208
5246332227_2339926125,2025-09-10T00:15:00,42.5,50,12,0.79,0.03,secondary,0.146
5246332238_35723960,2025-09-10T00:15:00,50.8,50,4299,0.78,0.03,secondary,60.637
5588108884_31674715,2025-09-10T00:15:00,35.5,50,18,0.86,0.03,secondary,0.174
5588108893_1652204774,2025-09-10T00:15:00,60.3,60,8,0.78,0.03,primary,0.142
5622523770_5196725569,2025-09-10T00:15:00,50.0,60,27,0.85,0.03,primary,0.369
5902583245_95636900,2025-09-10T00:15:00,39.4,50,1007,0.87,0.03,secondary,11.017
5902583245_5109667999,2025-09-10T00:15:00,53.8,60,14,0.82,0.03,primary,0.211
6959043879_36240972,2025-09-10T00:15:00,45.1,60,10,0.83,0.03,primary,0.131
31674707_31700906,2025-09-10T00:30:00,53.3,60,41,0.88,0.03,primary,0.605
31674708_5902583245,2025-09-10T00:30:00,61.1,60,534,0.79,0.03,primary,9.062
31674711_36240967,2025-09-10T00:30:00,63.9,60,14,0.75,0.03,primary,0.25
31674712_168577454,2025-09-10T00:30:00,51.9,60,661,0.88,0.03,primary,9.537
31674712_5588108884,2025-09-10T00:30:00,44.9,50,17,0.82,0.03,secondary,0.208
31700878_5109668001,2025-09-10T00:30:00,51.6,60,42,0.83,0.03,primary,0.606
31700906_1472131511,2025-09-10T00:30:00,49.6,60,9,0.89,0.03,primary,0.123
35723955_1235946207,2025-09-10T00:30:00,45.2,50,17,0.82,0.03,secondary,0.208
35723960_35723963,2025-09-10T00:30:00,47.6,50,19,0.87,0.03,secondary,0.25
35723963_35723964,2025-09-10T00:30:00,47.2,50,11,0.88,0.03,secondary,0.142
35723964_1598718049,2025-09-10T00:30:00,40.0,50,19,0.82,0.03,secondary,0.208
36240960_4742766612,2025-09-10T00:30:00,37.3,40,8653,0.88,0.03,tertiary,89.646
36240962_1235946208,2025-09-10T00:30:00,34.6,40,9837,0.86,0.03,tertiary,94.629
36240962_95636908,2025-09-10T00:30:00,39.1,40,17,0.82,0.03,tertiary,0.19
36240966_31674711,2025-09-10T00:30:00,47.2,60,6313,0.84,0.03,primary,82.851
36240967_95636908,2025-09-10T00:30:00,33.9,40,966,0.9,0.03,tertiary,9.105
36240967_31674708,2025-09-10T00:30:00,57.1,60,15,0.89,0.03,primary,0.232
36240972_4019886799,2025-09-10T00:30:00,59.6,60,669,0.85,0.03,primary,11.067
95636900_35723955,2025-09-10T00:30:00,46.6,50,5726,0.83,0.03,secondary,74.165
95636900_2339926113,2025-09-10T00:30:00,54.4,60,598,0.84,0.03,primary,9.04
95636908_36240967,2025-09-10T00:30:00,29.8,40,1100,0.88,0.03,tertiary,9.105
95636908_36240962,2025-09-10T00:30:00,31.9,40,21,0.95,0.03,tertiary,0.19
95636908_4708819230,2025-09-10T00:30:00,47.4,60,19,0.79,0.03,primary,0.249
95636982_168581819,2025-09-10T00:30:00,58.8,60,9,0.89,0.03,primary,0.151
95637019_31674712,2025-09-10T00:30:00,56.0,60,651,0.88,0.03,primary,10.122
168574117_5622523770,2025-09-10T00:30:00,44.7,60,859,0.81,0.03,primary,10.677
168577454_168581819,2025-09-10T00:30:00,53.1,60,686,0.82,0.03,primary,10.122
168577454_36240966,2025-09-10T00:30:00,57.8,60,9,0.84,0.03,primary,0.151
168581819_95637019,2025-09-10T00:30:00,48.4,60,706,0.83,0.03,primary,9.481
168581819_1598717904,2025-09-10T00:30:00,46.6,60,51,0.82,0.03,primary,0.665
168585503_1289576526,2025-09-10T00:30:00,40.1,50,15,0.86,0.03,secondary,0.166
1235946200_1598717989,2025-09-10T00:30:00,35.6,40,6707,0.82,0.03,tertiary,66.243
1235946200_1235946208,2025-09-10T00:30:00,33.1,40,25,0.86,0.03,tertiary,0.229
1235946207_5246332238,2025-09-10T00:30:00,37.3,50,23,0.78,0.03,secondary,0.243
1235946208_36240962,2025-09-10T00:30:00,32.2,40,10576,0.84,0.03,tertiary,94.629
1235946208_1235946200,2025-09-10T00:30:00,35.8,40,23,0.92,0.03,tertiary,0.229
1289576526_168577454,2025-09-10T00:30:00,40.3,50,19,0.84,0.03,secondary,0.209
1472121865_31700878,2025-09-10T00:30:00,52.6,60,9,0.8,0.03,primary,0.138
1472131511_3684154039,2025-09-10T00:30:00,52.6,60,15,0.84,0.03,primary,0.225
1472142462_1472121865,2025-09-10T00:30:00,54.4,60,35,0.81,0.03,primary,0.531
1480437223_5246332227,2025-09-10T00:30:00,45.9,50,3898,0.93,0.03,secondary,49.712
1598717904_168574117,2025-09-10T00:30:00,52.1,60,33,0.87,0.03,primary,0.483
1598717989_4742766612,2025-09-10T00:30:00,37.1,40,15,0.83,0.03,tertiary,0.15
1598717989_1235946200,2025-09-10T00:30:00,30.2,40,7907,0.85,0.03,tertiary,66.243
1598718049_2339926122,2025-09-10T00:30:00,44.1,50,4896,0.81,0.03,secondary,59.939
1652204774_6959043879,2025-09-10T00:30:00,52.8,60,7,0.87,0.03,primary,0.106
2339926111_2339926113,2025-09-10T00:30:00,50.0,50,5350,0.9,0.03,secondary,74.278
2339926113_31674708,2025-09-10T00:30:00,53.0,50,743,0.81,0.03,secondary,10.95
2339926113_95636908,2025-09-10T00:30:00,57.3,60,15,0.86,0.03,primary,0.232
2339926116_2339926111,2025-09-10T00:30:00,53.2,50,14,0.81,0.03,secondary,0.211
2339926118_2339926116,2025-09-10T00:30:00,40.0,50,27,0.82,0.03,secondary,0.302
2339926122_35723968,2025-09-10T00:30:00,34.4,50,14,0.82,0.03,secondary,0.137
2339926123_2389029051,2025-09-10T00:30:00,40.3,50,13,0.86,0.03,secondary,0.142
2339926125_2339926123,2025-09-10T00:30:00,45.1,50,17,0.94,0.03,secondary,0.207
2389029051_2339926118,2025-09-10T00:30:00,47.8,50,19,0.82,0.03,secondary,0.249
4019886799_4707949582,2025-09-10T00:30:00,48.0,60,36,0.87,0.03,primary,0.482
4707949582_95637019,2025-09-10T00:30:00,45.7,60,52,0.94,0.03,primary,0.665
4708819230_95636982,2025-09-10T00:30:00,50.1,60,6008,0.83,0.03,primary,83.579
4742766612_36240960,2025-09-10T00:30:00,28.8,40,11222,0.92,0.03,tertiary,89.646
4742766612_1598717989,2025-09-10T00:30:00,34.3,40,16,0.91,0.03,tertiary,0.15
5109667999_31674707,2025-09-10T00:30:00,44.3,60,1416,0.82,0.03,primary,17.425
5109668001_95636900,2025-09-10T00:30:00,52.7,60,14,0.85,0.03,primary,0.208
5246332227_2339926125,2025-09-10T00:30:00,41.7,50,13,0.88,0.03,secondary,0.146
5246332238_35723960,2025-09-10T00:30:00,39.0,50,5599,0.84,0.03,secondary,60.637
5588108884_31674715,2025-09-10T00:30:00,44.2,50,14,0.88,0.03,secondary,0.174
5588108893_1652204774,2025-09-10T00:30:00,56.5,60,9,0.79,0.03,primary,0.142
5622523770_5196725569,2025-09-10T00:30:00,44.6,60,30,0.91,0.03,primary,0.369
5902583245_95636900,2025-09-10T00:30:00,38.3,50,1035,0.81,0.03,secondary,11.017
5902583245_5109667999,2025-09-10T00:30:00,60.9,60,12,0.86,0.03,primary,0.211
6959043879_36240972,2025-09-10T00:30:00,58.9,60,8,0.85,0.03,primary,0.131
31674707_31700906,2025-09-10T00:45:00,63.6,60,34,0.94,0.03,primary,0.605
31674708_5902583245,2025-09-10T00:45:00,51.4,60,635,0.9,0.03,primary,9.062
31674711_36240967,2025-09-10T00:45:00,56.1,60,16,0.92,0.03,primary,0.25
31674712_168577454,2025-09-10T00:45:00,47.6,60,721,0.88,0.03,primary,9.537
31674712_5588108884,2025-09-10T00:45:00,48.3,50,16,0.76,0.03,secondary,0.208
31700878_5109668001,2025-09-10T00:45:00,46.5,60,47,0.75,0.03,primary,0.606
31700906_1472131511,2025-09-10T00:45:00,51.3,60,9,0.89,0.03,primary,0.123
35723955_1235946207,2025-09-10T00:45:00,50.2,50,15,0.85,0.03,secondary,0.208
35723960_35723963,2025-09-10T00:45:00,50.8,50,18,0.78,0.03,secondary,0.25
35723963_35723964,2025-09-10T00:45:00,36.2,50,14,0.85,0.03,secondary,0.142
35723964_1598718049,2025-09-10T00:45:00,45.3,50,17,0.85,0.03,secondary,0.208
36240960_4742766612,2025-09-10T00:45:00,27.5,40,11723,0.85,0.03,tertiary,89.646
36240962_1235946208,2025-09-10T00:45:00,30.2,40,11289,0.88,0.03,tertiary,94.629
36240962_95636908,2025-09-10T00:45:00,36.0,40,19,0.8,0.03,tertiary,0.19
36240966_31674711,2025-09-10T00:45:00,42.5,60,7019,0.8,0.03,primary,82.851
36240967_95636908,2025-09-10T00:45:00,34.5,40,950,0.9,0.03,tertiary,9.105
36240967_31674708,2025-09-10T00:45:00,47.5,60,18,0.88,0.03,primary,0.232
36240972_4019886799,2025-09-10T00:45:00,49.9,60,798,0.81,0.03,primary,11.067
95636900_35723955,2025-09-10T00:45:00,43.2,50,6183,0.8,0.03,secondary,74.165
95636900_2339926113,2025-09-10T00:45:00,49.8,60,654,0.79,0.03,primary,9.04
95636908_36240967,2025-09-10T00:45:00,35.3,40,929,0.85,0.03,tertiary,9.105
