#{"t_start": 1763960671.4171965, "env_id": "None"}
r,l,t
286.966667,30,8.490411
287.466667,30,11.301241
287.466667,30,14.156892
287.166667,30,16.950859
286.966667,30,19.749427
286.866667,30,22.551316
286.966667,30,25.319829
287.166667,30,28.13626
286.866667,30,30.932187
287.066667,30,33.791997
287.266667,30,36.551167
286.666667,30,39.355331
287.166667,30,42.16613
287.066667,30,44.937862
286.966667,30,47.712363
287.366667,30,50.460332
286.966667,30,53.27304
286.766667,30,56.034335
287.166667,30,58.92911
287.166667,30,61.683128
286.866667,30,64.481548
286.766667,30,67.248055
286.666667,30,70.009285
287.466667,30,72.81363
287.266667,30,75.58623
287.566667,30,78.359138
286.866667,30,81.10218
287.266667,30,83.876369
286.666667,30,86.627755
286.966667,30,89.444055
287.066667,30,92.233857
287.566667,30,95.032011
287.366667,30,97.864776
287.666667,30,101.412882
288.366667,30,104.269169
288.666667,30,107.098654
288.566667,30,109.949521
288.666667,30,112.806569
288.566667,30,115.624274
288.566667,30,118.504503
288.666667,30,121.329694
285.866667,30,124.199882
287.366667,30,127.028823
288.666667,30,129.855988
288.666667,30,132.724398
288.566667,30,135.563828
288.566667,30,138.392801
288.566667,30,141.246909
288.466667,30,144.111304
288.566667,30,146.927247
288.666667,30,149.810927
288.566667,30,152.67112
288.666667,30,155.492138
288.666667,30,158.302897
288.666667,30,161.1467
288.566667,30,164.112355
288.566667,30,166.920201
288.566667,30,169.738226
288.566667,30,172.604024
288.466667,30,175.429985
288.666667,30,178.271269
288.666667,30,181.110768
288.566667,30,183.958338
288.666667,30,186.795391
288.666667,30,189.678408
288.666667,30,192.541266
288.566667,30,195.371742
288.666667,30,198.185176
288.566667,30,201.018244
288.666667,30,203.878376
286.866667,30,206.694436
285.666667,30,209.537233
288.666667,30,212.401526
287.866667,30,215.214239
286.666667,30,218.031099
288.666667,30,220.880457
287.166667,30,223.732642
286.866667,30,226.560719
288.666667,30,229.375558
286.466667,30,232.211231
288.266667,30,235.047183
288.666667,30,237.889464
288.666667,30,240.726822
288.566667,30,243.60818
288.566667,30,246.543219
288.566667,30,249.353282
288.366667,30,252.374478
288.566667,30,255.215018
288.566667,30,258.083317
288.566667,30,260.913546
288.566667,30,263.775991
288.666667,30,266.601597
288.666667,30,269.462527
288.566667,30,272.384374
288.566667,30,275.20223
288.666667,30,278.02856
288.666667,30,280.869855
288.566667,30,283.746941
288.566667,30,286.566839
287.666667,30,289.357638
288.666667,30,292.211203
288.666667,30,295.042271
288.666667,30,297.85114
287.666667,30,300.66178
285.866667,30,303.502144
288.566667,30,306.332487
287.866667,30,309.17012
288.566667,30,312.042421
286.966667,30,314.896894
288.566667,30,317.720753
288.666667,30,320.540546
288.666667,30,323.360836
288.666667,30,326.212714
287.466667,30,329.014502
288.466667,30,331.967077
287.866667,30,334.768368
288.566667,30,337.579475
287.066667,30,340.427551
288.566667,30,343.282477
288.466667,30,346.096464
288.666667,30,348.89627
288.566667,30,351.732047
288.566667,30,354.584769
287.466667,30,357.382279
288.166667,30,360.216094
287.866667,30,363.100375
288.566667,30,366.504019
287.866667,30,369.375577
287.366667,30,372.289983
288.566667,30,375.226081
286.766667,30,378.118223
288.566667,30,380.981448
288.566667,30,383.871808
288.666667,30,386.728072
288.666667,30,389.558123
287.766667,30,392.40038
285.766667,30,395.235198
287.166667,30,398.080168
288.566667,30,400.927501
288.266667,30,403.808351
287.466667,30,406.668128
288.666667,30,409.510345
288.466667,30,412.405174
288.566667,30,415.241823
288.466667,30,418.101533
288.566667,30,420.927297
288.666667,30,423.825104
288.566667,30,426.672992
288.166667,30,429.522538
288.666667,30,432.408329
287.566667,30,435.241808
287.766667,30,438.091777
288.566667,30,440.914135
287.566667,30,443.773388
288.466667,30,446.596057
288.266667,30,449.435042
286.766667,30,452.30827
288.366667,30,455.15596
286.666667,30,457.994844
288.666667,30,460.826125
287.766667,30,463.709898
287.666667,30,466.542504
287.366667,30,469.402686
288.466667,30,472.298152
287.766667,30,475.149608
288.566667,30,477.975323
287.566667,30,480.814022
288.666667,30,483.689117
288.666667,30,486.550282
287.866667,30,489.395089
285.866667,30,492.232702
288.566667,30,495.07419
288.366667,30,497.900304
286.166667,30,500.780253
288.566667,30,503.701174
286.766667,30,506.563776
287.966667,30,509.420927
287.266667,30,512.310805
287.466667,30,515.234387
288.066667,30,518.099494
287.666667,30,520.961395
288.566667,30,523.852536
288.266667,30,526.724282
288.666667,30,529.605381
288.666667,30,532.520252
288.466667,30,535.390736
288.666667,30,538.2571
288.566667,30,541.13615
288.666667,30,544.036427
287.166667,30,546.903455
287.866667,30,549.749388
288.066667,30,552.622195
287.866667,30,555.464631
288.666667,30,558.33162
287.366667,30,561.375134
288.666667,30,564.260529
286.966667,30,567.160758
288.566667,30,570.041832
288.666667,30,572.962207
288.266667,30,575.919216
286.066667,30,578.778924
285.966667,30,581.643248
285.966667,30,584.54129
288.666667,30,587.404803
287.266667,30,590.293678
287.266667,30,593.193797
287.566667,30,596.095266
287.966667,30,598.956477
286.766667,30,601.842275
287.066667,30,604.712202
288.466667,30,607.570382
287.666667,30,610.436779
287.866667,30,613.332896
288.266667,30,616.151493
287.866667,30,618.987809
287.466667,30,621.87952
286.866667,30,624.80937
287.966667,30,627.665355
287.066667,30,630.575986
287.266667,30,633.470545
287.966667,30,636.338957
287.466667,30,639.215401
287.866667,30,642.160629
288.566667,30,645.015839
287.666667,30,647.901832
288.066667,30,650.772527
288.566667,30,653.710384
287.466667,30,656.631024
287.866667,30,659.531708
288.666667,30,662.37524
287.866667,30,665.248051
287.666667,30,668.107571
288.066667,30,670.986664
286.966667,30,673.861343
288.666667,30,676.717336
287.966667,30,679.597152
285.866667,30,682.542039
287.166667,30,685.482329
286.966667,30,688.350775
287.966667,30,691.239265
288.366667,30,694.145454
288.266667,30,697.010588
287.466667,30,699.873942
288.566667,30,702.797932
287.366667,30,705.682274
288.466667,30,708.536036
288.666667,30,711.407462
288.266667,30,714.293663
287.966667,30,717.144256
287.966667,30,720.003269
287.766667,30,722.893583
287.466667,30,725.760953
287.966667,30,728.589923
287.966667,30,731.412951
288.466667,30,734.290036
288.566667,30,737.203454
288.466667,30,740.074147
288.066667,30,742.929004
287.666667,30,745.774591
287.866667,30,748.63274
288.666667,30,751.544251
287.766667,30,754.413859
287.366667,30,757.294558
287.066667,30,760.141155
287.766667,30,763.04891
287.766667,30,765.921872
288.666667,30,768.776551
288.566667,30,771.625906
287.566667,30,774.495019
285.866667,30,777.335465
286.266667,30,780.878324
288.666667,30,783.808518
286.366667,30,786.687011
287.766667,30,789.547752
287.666667,30,792.460001
287.266667,30,795.335542
287.866667,30,798.249798
288.666667,30,801.127685
